"Rank","Player","Team","Bye","POS","AVG"
"164","De'Zhaun Stribling","SF","","WR66","164.0"
"165","Brian Robinson Jr.","ATL","","RB51","165.0"
"166","Fernando Mendoza","LV","","QB27","166.0"
"167","Dylan Sampson","CLE","","RB52","167.0"
"168","Isaac TeSlaa","DET","","WR67","168.0"
"169","AJ Barner","SEA","","TE23","169.0"
"170","Deebo Samuel Sr.","","","WR68","170.0"
"171","Dalton Schultz","HOU","","TE24","171.0"
"172","Brandon Aiyuk","SF","","WR69","172.0"
"173","Nick Singleton","TEN","","RB53","173.0"
"174","Calvin Ridley","TEN","","WR70","174.0"
"175","Jacoby Brissett","ARI","","QB28","175.0"
"176","Jerry Jeudy","CLE","","WR71","176.0"
"177","Geno Smith","NYJ","","QB29","177.0"
"178","Tank Bigsby","PHI","","RB54","178.0"
"179","Mike Washington Jr.","LV","","RB55","179.0"
"180","Emmett Johnson","KC","","RB56","180.0"
"181","Alvin Kamara","NO","","RB57","181.0"
"182","Gunnar Helm","TEN","","TE25","182.0"
"183","Germie Bernard","PIT","","WR72","183.0"
"184","Tre' Harris","LAC","","WR73","184.0"
"185","Ryan Flournoy","DAL","","WR74","185.0"
"186","Cade Otton","TB","","TE26","186.0"
"187","Chris Bell","MIA","","WR75","187.0"
"188","Aaron Rodgers","PIT","","QB30","188.0"
"189","Kaytron Allen","WAS","","RB58","189.0"
"190","David Njoku","LAC","","TE27","190.0"
"191","Tyreek Hill","","","WR76","191.0"
"192","Eli Stowers","PHI","","TE28","192.0"
"193","Emanuel Wilson","SEA","","RB59","193.0"
"194","Pat Freiermuth","PIT","","TE29","194.0"
"195","Tank Dell","HOU","","WR77","195.0"
"196","Kayshon Boutte","NE","","WR78","196.0"
"197","Zachariah Branch","ATL","","WR79","197.0"
"198","Braelon Allen","NYJ","","RB60","198.0"
"199","Ted Hurst","TB","","WR80","199.0"
"200","Darnell Mooney","NYG","","WR81","200.0"
"201","Sean Tucker","TB","","RB61","201.0"
"202","Malik Washington","MIA","","WR82","202.0"
"203","Ray Davis","BUF","","RB62","203.0"
"204","Terrance Ferguson","LAR","","TE30","204.0"
"205","Kaelon Black","SF","","RB63","205.0"
"206","Dontayvion Wicks","PHI","","WR83","206.0"
"207","Tua Tagovailoa","ATL","","QB31","207.0"
"208","Elijah Sarratt","BAL","","WR84","208.0"
"209","Mike Gesicki","CIN","","TE31","209.0"
"210","Cooper Kupp","SEA","","WR85","210.0"
"211","Troy Franklin","DEN","","WR86","211.0"
"212","Greg Dulcich","MIA","","TE32","212.0"
"213","Tory Horton","SEA","","WR87","213.0"
"214","Adonai Mitchell","NYJ","","WR88","214.0"
"215","Malachi Fields","NYG","","WR89","215.0"
"216","Kimani Vidal","LAC","","RB64","216.0"
"217","Demond Claiborne","MIN","","RB65","217.0"
"218","Jake Tonges","SF","","TE33","218.0"
"219","Deshaun Watson","CLE","","QB32","219.0"
"220","Chris Brazzell II","CAR","","WR90","220.0"
"221","Skyler Bell","BUF","","WR91","221.0"
"222","Christian Kirk","SF","","WR92","222.0"
"223","James Conner","ARI","","RB66","223.0"
"224","Pat Bryant","DEN","","WR93","224.0"
"225","Michael Penix Jr.","ATL","","QB33","225.0"
"226","Colby Parkinson","LAR","","TE34","226.0"
"227","Jaydon Blue","DAL","","RB67","227.0"
"228","Shedeur Sanders","CLE","","QB34","228.0"
"229","Justice Hill","BAL","","RB68","229.0"
"230","Rashod Bateman","BAL","","WR94","230.0"
"231","Ja'Kobi Lane","BAL","","WR95","231.0"
"232","Keon Coleman","BUF","","WR96","232.0"
"233","Jack Bech","LV","","WR97","233.0"
"234","Evan Engram","DEN","","TE35","234.0"
"235","Jordan James","SF","","RB69","235.0"
"236","Caleb Douglas","MIA","","WR98","236.0"
"237","Kirk Cousins","LV","","QB35","237.0"
"238","Brenen Thompson","LAC","","WR99","238.0"
"239","Jaylin Noel","HOU","","WR100","239.0"
"240","Carson Beck","ARI","","QB36","240.0"
"241","Chimere Dike","TEN","","WR101","241.0"
"242","Andrei Iosivas","CIN","","WR102","242.0"
"243","Tyquan Thornton","KC","","WR103","243.0"
"244","MarShawn Lloyd","GB","","RB70","244.0"
"245","Theo Johnson","NYG","","TE36","245.0"
"246","Adam Randall","BAL","","RB71","246.0"
"247","Zavion Thomas","CHI","","WR104","247.0"
"248","Oscar Delp","NO","","TE37","248.0"
"249","DJ Giddens","IND","","RB72","249.0"
"250","Devaughn Vele","NO","","WR105","250.0"
"251","Ollie Gordon II","MIA","","RB73","251.0"
"252","Darnell Washington","PIT","","TE38","252.0"
"253","Najee Harris","LAC","","RB74","253.0"
"254","Samaje Perine","CIN","","RB75","254.0"
"255","Michael Mayer","LV","","TE39","255.0"
"256","Ja'Tavion Sanders","CAR","","TE40","256.0"
"257","Darius Slayton","NYG","","WR106","257.0"
"258","Malik Davis","DAL","","RB76","258.0"
"259","Eli Heidenreich","PIT","","RB77","259.0"
"260","Kyle Williams","NE","","WR107","260.0"
"261","Justin Fields","KC","","QB37","261.0"
"262","Chris Brooks","GB","","RB78","262.0"
"263","Eli Raridon","NE","","TE41","263.0"
"264","Justin Joly","DEN","","TE42","264.0"
"265","Dawson Knox","BUF","","TE43","265.0"
"266","Bryce Lance","NO","","WR108","266.0"
"267","LeQuint Allen Jr.","JAC","","RB79","267.0"
"268","Jalen Tolbert","MIA","","WR109","268.0"
"269","Mason Taylor","NYJ","","TE44","269.0"
"270","Ty Johnson","BUF","","RB80","270.0"
"271","Keenan Allen","LAC","","WR110","271.0"
"272","Treylon Burks","WAS","","WR111","272.0"
"273","J.J. McCarthy","MIN","","QB38","273.0"
"274","Elijah Arroyo","SEA","","TE45","274.0"
"275","Jaylen Wright","MIA","","RB81","275.0"
"276","Joe Mixon","","","RB82","276.0"
"277","Tez Johnson","TB","","WR112","277.0"
"278","Max Klare","LAR","","TE46","278.0"
"279","Cole Kmet","CHI","","TE47","279.0"
"280","Kendrick Bourne","ARI","","WR113","280.0"
"281","George Holani","SEA","","RB83","281.0"
"282","KaVontae Turpin","DAL","","WR114","282.0"
"283","Savion Williams","GB","","WR115","283.0"
"284","Hollywood Brown","PHI","","WR116","284.0"
"285","Jahan Dotson","ATL","","WR117","285.0"
"286","Jimmy Horn Jr.","CAR","","WR118","286.0"
"287","Kevin Coleman Jr.","MIA","","WR119","287.0"
"288","Devontez Walker","BAL","","WR120","288.0"
"289","Jerome Ford","WAS","","RB84","289.0"
"290","Tahj Brooks","CIN","","RB85","290.0"
"291","Will Levis","TEN","","QB39","291.0"
"292","Emari Demercado","KC","","RB86","292.0"
"293","Kyle Juszczyk","SF","","RB87","293.0"
"294","Carson Wentz","MIN","","QB40","294.0"
"295","Luke McCaffrey","WAS","","WR121","295.0"
"296","Coleman Bennett","CHI","","RB88","296.0"
"297","DeMario Douglas","NE","","WR122","297.0"
"298","Luke Musgrave","GB","","TE48","298.0"
"299","Trevor Etienne","CAR","","RB89","299.0"
"300","Cade Klubnik","NYJ","","QB41","300.0"
"301","Taylen Green","CLE","","QB42","301.0"
"302","Marvin Mims Jr.","DEN","","WR123","302.0"
"303","Jaylin Lane","WAS","","WR124","303.0"
"304","Elic Ayomanor","TEN","","WR125","304.0"
"305","Anthony Richardson Sr.","IND","","QB43","305.0"
"306","J'Mari Taylor","JAC","","RB90","306.0"
"307","Drew Allar","PIT","","QB44","307.0"
"308","Deion Burks","IND","","WR126","308.0"
"309","Brashard Smith","KC","","RB91","309.0"
"310","Dyami Brown","WAS","","WR127","310.0"
"311","Sione Vaki","DET","","RB92","311.0"
"312","Olamide Zaccheaus","ATL","","WR128","312.0"
"313","Xavier Legette","CAR","","WR129","313.0"
"314","Calvin Austin III","NYG","","WR130","314.0"
"315","Devin Neal","NO","","RB93","315.0"
"316","John Metchie III","CAR","","WR131","316.0"
"317","Isaiah Bond","CLE","","WR132","317.0"
"318","Mac Jones","SF","","QB45","318.0"
"319","Cyrus Allen","KC","","WR133","319.0"
"320","Raheim Sanders","CLE","","RB94","320.0"
"321","Gary Brightwell","CIN","","RB95","321.0"
"322","Mack Hollins","NE","","WR134","322.0"
"323","Noah Gray","KC","","TE49","323.0"
"324","Konata Mumpfield","LAR","","WR135","324.0"
"325","CJ Daniels","LAR","","WR136","325.0"
"326","Daniel Bellinger","TEN","","TE50","326.0"
"327","Kaleb Johnson","PIT","","RB96","327.0"
"328","Seth McGowan","IND","","RB97","328.0"
"329","Joe Flacco","CIN","","QB46","329.0"
"330","Trey Benson","ARI","","RB98","330.0"
"331","Michael Trigg","DAL","","TE51","331.0"
"332","Matt Hibner","BAL","","TE52","332.0"
"333","Kalif Raymond","CHI","","WR137","333.0"
"334","Greg Dortch","DET","","WR138","334.0"
"335","Nick Westbrook-Ikhine","IND","","WR139","335.0"
"336","Jahdae Walker","CHI","","WR140","336.0"
"337","Isaac Guerendo","SF","","RB99","337.0"
"338","Jalen Milroe","SEA","","QB47","338.0"
"339","Malik Benson","LV","","WR141","339.0"
"340","Erick All Jr.","CIN","","TE53","340.0"
"341","Nick Chubb","","","RB100","341.0"
"342","Will Kacmarek","MIA","","TE54","342.0"
"343","Isaiah Davis","NYJ","","RB101","343.0"
"344","KeAndre Lambert-Smith","LAC","","WR142","344.0"
"345","Tutu Atwell","MIA","","WR143","345.0"
"346","Jalen Royals","KC","","WR144","346.0"
"347","Austin Hooper","ATL","","TE55","347.0"
"348","Tyler Higbee","LAR","","TE56","348.0"
"349","Tanner Koziol","JAC","","TE57","349.0"
"350","Colbie Young","CIN","","WR145","350.0"
"351","Tommy Tremble","CAR","","TE58","351.0"
"352","Will Howard","PIT","","QB48","352.0"
"353","Dont'e Thornton Jr.","LV","","WR146","353.0"
"354","Tai Felton","MIN","","WR147","354.0"
"355","Nate Boerkircher","JAC","","TE59","355.0"
"356","Jordan Whittington","LAR","","WR148","356.0"
"357","Jam Miller","NE","","RB102","357.0"
"358","Ty Simpson","LAR","","QB49","358.0"
"359","Marcus Mariota","WAS","","QB50","359.0"
"360","Tyrod Taylor","GB","","QB51","360.0"
"361","Jameis Winston","NYG","","QB52","361.0"
"362","Quinn Ewers","MIA","","QB53","362.0"
"363","Devin Singletary","NYG","","RB103","363.0"
"364","Zavier Scott","MIN","","RB104","364.0"
"365","Kareem Hunt","","","RB105","365.0"
"366","Darren Waller","","","TE60","366.0"
"367","Zach Ertz","","","TE61","367.0"
"368","Logan Woodside","","","QB54","368.0"
"369","Casey Washington","ATL","","WR149","369.0"
"370","Xavier Guillory","BAL","","WR150","371.0"
"371","K.J. Osborn","TEN","","WR151","372.0"
"372","Mitch Tinsley","CIN","","WR152","373.0"
"373","Trey Palmer","NO","","WR153","374.0"
"374","Jeff Caldwell","KC","","WR154","375.0"
"375","Jack Endries","CIN","","TE62","376.0"
"376","Elijah Higgins","ARI","","TE63","377.0"
